JOBTYPE_ID,JOBTYPE_NAME,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
1,Full-time (พนักงานประจำ),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
2,Part-time (พาร์ทไทม์),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
3,Contract / Fixed-term (สัญญาจ้าง),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
4,Temporary (ชั่วคราว),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
5,Freelance / Self-employed (ฟรีแลนซ์),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
6,Intern / Coop (ฝึกงาน/สหกิจ),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
