WORKTYPE_ID,WORKTYPE_NAME,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
1,Onsite (เข้าออฟฟิศ),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
2,Remote (ทำงานทางไกล),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
3,Hybrid (ผสม),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
4,Shift-based (กะ/ผลัด),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
5,Project-based (ตามโปรเจกต์),SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
